_id,full_name,gender,dob,phone_number,email,qualification,department,category,date_of_joining,experience_in_years,aadhar_number,address,city,state,pin_code,emergency_contact,photo_url,designation
T011,Kartik Gandhi,Male,1975-11-17,+911433850460,gdhillon@hotmail.com,M.Sc,Library,Teaching,2020-10-04,16,184273870122,"H.No. 02, Sur Zila, Karawal Nagar 043186",Dibrugarh,Nagaland,110705,09078111602,https://randomuser.me/api/portraits/men/11.jpg,PGT
T012,Anay Keer,Female,1984-07-09,8847162796,drishyachopra@gmail.com,M.Ed,Transport,Teaching,2011-02-20,1,438957242876,"70/567, Kannan Chowk, Tirupati-514118",Rajkot,Chhattisgarh,916350,+918499704839,https://randomuser.me/api/portraits/women/12.jpg,PGT
T013,Aaryahi Bhalla,Male,1984-01-14,+919387077161,maharajnitara@gmail.com,MBA,Library,Non-Teaching,2013-08-06,15,443555838692,"04/97, Baria Circle, Hazaribagh-548852",Ranchi,Odisha,785439,+913551901208,https://randomuser.me/api/portraits/men/13.jpg,Admin Officer
T014,Shalv Wali,Female,1971-11-11,0884104873,saanvi69@gmail.com,PhD,Library,Teaching,2009-06-08,26,873368820553,"65/665, Venkatesh Marg, Ozhukarai 082502",Alwar,Jharkhand,177170,04474474862,https://randomuser.me/api/portraits/women/14.jpg,HOD
T015,Hansh Datta,Female,1982-07-30,2384608315,priyansh91@gmail.com,B.Sc,Finance,Non-Teaching,2007-06-28,28,717947553824,"17, Malhotra Chowk, Guwahati-886612",Morbi,Tamil Nadu,245560,1078525619,https://randomuser.me/api/portraits/women/15.jpg,Fee Clerk
T016,Priyansh Chacko,Female,1977-12-01,+916842386792,bhattacharyyatrisha@gmail.com,M.Sc,Physical Education,Teaching,2018-04-06,35,401185899023,"88/438, Basak Circle, Thiruvananthapuram 060917",Amaravati,West Bengal,391959,5150047930,https://randomuser.me/api/portraits/women/16.jpg,Admin
T017,Saksham Chaudhary,Male,1992-09-22,9905048131,veerdube@hotmail.com,MBA,Transport,Teaching,2021-08-04,9,677590203014,"65/835, Barad Nagar, Chittoor-547890",Visakhapatnam,Goa,228329,+912455514549,https://randomuser.me/api/portraits/men/17.jpg,TGT
T018,Ojas Venkataraman,Male,1981-05-28,6520511228,bijudhawan@yohannan-saran.com,M.Ed,Transport,Non-Teaching,2016-09-20,1,604181182070,"H.No. 788, Sama, Chandigarh-705026",Anantapuram,Karnataka,617217,+916181183149,https://randomuser.me/api/portraits/men/18.jpg,Admin Officer
T019,Faiyaz Bassi,Female,1975-03-12,4826035303,samar09@batra-behl.com,M.Ed,IT,Non-Teaching,2022-11-05,23,426221720129,"354, Dhar Street, Bijapur-618800",Hosur,Odisha,623651,01207148693,https://randomuser.me/api/portraits/women/19.jpg,Fee Clerk
T020,Zoya Divan,Female,1999-08-21,+917681116976,gourdishani@yahoo.com,MCA,Physical Education,Non-Teaching,2018-04-17,21,101119590699,"63/62, De Chowk, Shahjahanpur 262721",Malegaon,Kerala,879629,+915947473370,https://randomuser.me/api/portraits/women/20.jpg,Librarian
T021,Alia Dewan,Female,1981-05-12,0413111681,nitara44@hotmail.com,B.Sc,Physical Education,Non-Teaching,2015-03-03,27,345767588152,"18/09, Kannan, Pali-373197",Burhanpur,Madhya Pradesh,251310,09962920453,https://randomuser.me/api/portraits/women/21.jpg,Lab Assistant
T022,Tara Kari,Female,1998-05-21,6360399995,zsalvi@hotmail.com,B.Sc,Transport,Non-Teaching,2007-12-31,4,458485811536,"72/173, Bala Marg, Jodhpur 805014",Ghaziabad,Meghalaya,013176,8815352689,https://randomuser.me/api/portraits/women/22.jpg,Admin Officer
T023,Samaira Banik,Male,1985-11-07,06369265283,cdara@yahoo.com,B.Ed,IT,Non-Teaching,2018-12-25,17,148877951738,"91/027, Sagar Street, Amaravati 234684",Amaravati,Himachal Pradesh,266770,1223035306,https://randomuser.me/api/portraits/men/23.jpg,Fee Clerk
T024,Rohan Vora,Male,1974-04-24,07195221194,tiyabhat@yahoo.com,M.Ed,Finance,Non-Teaching,2015-10-22,27,333590641387,"065, Ravi Path, Mirzapur 889094",Surat,Haryana,731530,+912125283009,https://randomuser.me/api/portraits/men/24.jpg,Transport Manager
T025,Diya Agarwal,Male,1980-03-29,+915799847601,erout@karnik-sridhar.com,M.A,Finance,Non-Teaching,2014-10-17,17,151945603799,"23/790, Hayer Chowk, Guwahati 843380",Tadipatri,Goa,986800,4326098539,https://randomuser.me/api/portraits/men/25.jpg,Lab Assistant
T026,Ira Thaker,Female,1984-03-20,03436099115,datevivaan@venkatesh.com,B.A,Physical Education,Non-Teaching,2018-11-20,17,666631249301,"828, Keer Road, Pali 632178",Jehanabad,Maharashtra,326300,07173507481,https://randomuser.me/api/portraits/women/26.jpg,Transport Manager
T027,Suhana Banik,Male,1989-08-23,+914933179456,adah06@raval.com,M.Ed,Math,Non-Teaching,2022-09-26,24,161918495684,"458, Varkey Zila, Bihar Sharif-069174",Srikakulam,Assam,857362,07499306812,https://randomuser.me/api/portraits/men/27.jpg,Receptionist
T028,Samarth Kata,Female,1976-03-25,02657089772,bhavin65@yahoo.com,M.Sc,Math,Non-Teaching,2014-05-27,3,558990959199,"29/66, Chakraborty Path, Katni-316766",Morena,Manipur,859290,04586843063,https://randomuser.me/api/portraits/women/28.jpg,Receptionist
T029,Trisha Bawa,Male,1988-05-15,03835722059,mangalpihu@hotmail.com,M.Ed,Math,Non-Teaching,2017-04-28,34,122865912696,"558, Ratta Chowk, Fatehpur-039846",Kochi,Uttar Pradesh,036395,06751605043,https://randomuser.me/api/portraits/men/29.jpg,Receptionist
T030,Pranay Sibal,Male,1965-11-16,4701920192,jiya97@karan.biz,M.Ed,Finance,Non-Teaching,2010-01-07,6,518975390811,"H.No. 62, Bhatia Path, Bhagalpur-998631",Surat,Sikkim,067493,06702100993,https://randomuser.me/api/portraits/men/30.jpg,Lab Assistant
T031,Jhanvi Manda,Female,1987-01-01,+917035174612,ghoshvivaan@yahoo.com,B.Sc,Transport,Non-Teaching,2024-01-05,30,747904597825,"18/418, Saini Path, Hosur 067016",Bhubaneswar,Nagaland,124455,00958970817,https://randomuser.me/api/portraits/women/31.jpg,Admin Officer
T032,Myra Chandra,Male,1998-03-03,0422532420,uthkarshyohannan@yahoo.com,B.A,English,Non-Teaching,2019-08-29,2,328518408980,"25, Kashyap Circle, Bhatpara-505760",Madurai,Kerala,538263,9782474303,https://randomuser.me/api/portraits/men/32.jpg,Lab Assistant
T033,Charvi Borde,Male,1986-01-07,4541204912,badalvarughese@rao.com,B.A,Library,Teaching,2010-05-07,22,349601075869,"55, Kant, Hazaribagh 705164",Bongaigaon,Jharkhand,439940,4035106763,https://randomuser.me/api/portraits/men/33.jpg,HOD
T034,Hiran Bhasin,Female,1987-11-09,5308985485,aayushjayaraman@chada-brahmbhatt.com,M.Sc,Science,Non-Teaching,2011-05-03,9,680023561617,"H.No. 77, Shere Path, Cuttack 213150",Chandrapur,West Bengal,997892,01424135933,https://randomuser.me/api/portraits/women/34.jpg,Receptionist
T035,Keya Tak,Female,1986-08-01,+916832378440,sara01@dixit.com,M.Sc,Transport,Non-Teaching,2008-07-12,29,432593599960,"94, Bala Chowk, Visakhapatnam-888672",Kolkata,Meghalaya,634615,7078735465,https://randomuser.me/api/portraits/women/35.jpg,Librarian
T036,Vritika Tella,Male,1979-07-16,3329464324,vaidyasuhana@gaba.org,PhD,IT,Teaching,2022-02-19,17,718982283177,"866, Choudhary Marg, Bilaspur-005652",Ichalkaranji,West Bengal,790530,+915631036284,https://randomuser.me/api/portraits/men/36.jpg,HOD
T037,Adah Vora,Female,1988-07-15,+911286399947,dhillondhanush@bhatti.com,B.Sc,Physical Education,Teaching,2013-09-14,6,796589323962,"17/31, Dugal, Madhyamgram-352329",Thanjavur,Assam,452686,5968145469,https://randomuser.me/api/portraits/women/37.jpg,PGT
T038,Yashvi Brar,Female,2000-03-20,02333145121,kismatgokhale@date-kakar.com,M.A,Library,Non-Teaching,2007-10-05,12,625467506278,"88/36, Grewal Path, Jammu-909950",Anantapur,Manipur,005793,+910381021117,https://randomuser.me/api/portraits/women/38.jpg,Fee Clerk
T039,Himmat Batra,Male,1968-05-19,05945372430,prerakbassi@yahoo.com,PhD,IT,Teaching,2019-08-23,13,849760098225,"H.No. 024, Seshadri Street, Madurai 179419",Etawah,Himachal Pradesh,129058,+910715502003,https://randomuser.me/api/portraits/men/39.jpg,Principal
T040,Dhanush Soni,Female,1980-03-29,+913482585583,dhruv37@hotmail.com,MCA,Administration,Non-Teaching,2019-05-18,1,130842859899,"H.No. 148, Walia Path, New Delhi-035403",Nagaon,Maharashtra,847504,04071945320,https://randomuser.me/api/portraits/women/40.jpg,Librarian
T041,Nirvi Dua,Male,1983-05-29,+917281465860,bhattjayant@gmail.com,M.A,Physical Education,Non-Teaching,2008-01-02,35,906445982690,"43, Chad Road, Tiruvottiyur 454124",Fatehpur,Goa,848229,01752849752,https://randomuser.me/api/portraits/men/41.jpg,Receptionist
T042,Oorja Bath,Male,1979-01-22,+919770620990,kandamanjari@dalia.com,MBA,Transport,Teaching,2011-09-14,23,370489798402,"14/40, Solanki Circle, Sirsa 579457",Jalgaon,Goa,217643,09395511534,https://randomuser.me/api/portraits/men/42.jpg,PGT
T043,Shamik Sethi,Female,1997-03-15,2075440323,flad@gmail.com,B.Sc,Administration,Non-Teaching,2016-06-15,33,869080055590,"64/27, Dugar Zila, Panihati-740381",Karawal Nagar,Himachal Pradesh,089210,+913000628086,https://randomuser.me/api/portraits/women/43.jpg,Librarian
T044,Lavanya Kala,Female,1998-08-04,05456671347,dharmajan45@hotmail.com,MBA,Finance,Non-Teaching,2013-07-29,15,713612069545,"00, Ganesh, Visakhapatnam 432309",Gwalior,Nagaland,786134,8021180714,https://randomuser.me/api/portraits/women/44.jpg,Fee Clerk
T045,Neelofar Bhasin,Male,1965-08-15,0783752067,pagate@hotmail.com,MCA,IT,Non-Teaching,2011-01-30,10,697999633112,"H.No. 42, Chatterjee Path, Haridwar 590403",Berhampore,Uttar Pradesh,562907,8235642935,https://randomuser.me/api/portraits/men/45.jpg,Lab Assistant
T046,Armaan Sahota,Male,1977-09-18,2760878552,nitara49@bhatia.com,B.Ed,Finance,Non-Teaching,2018-04-10,12,807971221721,"88/923, Sagar Circle, Malegaon 094831",Baranagar,Manipur,904219,+915465373897,https://randomuser.me/api/portraits/men/46.jpg,Librarian
T047,Kiara Iyer,Male,2000-04-27,5741527569,tganesh@buch.com,PhD,Transport,Non-Teaching,2022-04-04,25,366483914868,"H.No. 66, Sathe Chowk, Khora -814897",Gurgaon,Uttarakhand,076409,+917486819961,https://randomuser.me/api/portraits/men/47.jpg,Receptionist
T048,Neelofar Barad,Male,1972-10-17,+910569810280,ojaschakraborty@yahoo.com,B.Sc,Physical Education,Teaching,2016-10-12,6,187141773744,"H.No. 660, Chanda Marg, Amaravati-857977",Bardhaman,Gujarat,032760,+910299725086,https://randomuser.me/api/portraits/men/48.jpg,Vice Principal
T049,Romil Sule,Male,1999-10-01,02046120565,seherlata@butala.com,B.Sc,IT,Non-Teaching,2011-07-20,18,263775415260,"85/797, Sehgal Nagar, Gudivada-455814",Ambattur,Uttarakhand,916675,01354587307,https://randomuser.me/api/portraits/men/49.jpg,Librarian
T050,Aaina Brahmbhatt,Male,1994-03-09,03352420019,aaryahi25@venkatesh-chaudhry.com,B.Ed,Transport,Non-Teaching,2007-04-17,20,138781677141,"H.No. 443, Sarin Road, Thane 234516",Chandigarh,Tamil Nadu,804217,00111840441,https://randomuser.me/api/portraits/men/50.jpg,Receptionist
T051,Kismat Shukla,Male,1981-10-18,+919325607076,alia14@sarin-vaidya.net,M.Ed,Physical Education,Non-Teaching,2023-01-26,21,318625626705,"H.No. 400, Rout Nagar, Hubli–Dharwad-354220",Siliguri,Jharkhand,608053,08278698668,https://randomuser.me/api/portraits/men/51.jpg,Admin Officer
T052,Miraan Bhargava,Female,1999-11-17,06868785111,amira04@iyer.biz,M.Ed,IT,Non-Teaching,2012-02-27,29,159005444095,"H.No. 492, Upadhyay Circle, Orai-643487",Chennai,Uttar Pradesh,273931,8848372400,https://randomuser.me/api/portraits/women/52.jpg,Transport Manager
T053,Emir Dyal,Female,1987-02-12,+917739456181,abramchatterjee@yahoo.com,MBA,Physical Education,Non-Teaching,2011-11-06,24,570594682902,"H.No. 25, Dave Street, Bardhaman-072664",Shivpuri,Assam,470515,6931449676,https://randomuser.me/api/portraits/women/53.jpg,Librarian
T054,Amani Hegde,Male,1988-02-08,4758436266,raunak29@bahl-sheth.net,M.A,Physical Education,Teaching,2011-05-17,34,471923079934,"452, Shanker Road, Durgapur-158095",Thoothukudi,Madhya Pradesh,120884,+915749668012,https://randomuser.me/api/portraits/men/54.jpg,Vice Principal
T055,Tushar Venkatesh,Female,1974-02-07,00061344553,sandalnishith@hotmail.com,B.Sc,Math,Teaching,2006-12-19,6,399958196422,"03, Lalla Zila, Bhagalpur 052666",Mango,Gujarat,418842,+913807464128,https://randomuser.me/api/portraits/women/55.jpg,Vice Principal
T056,Inaaya  Singh,Female,1993-08-12,02743674235,adah67@gmail.com,M.Ed,Administration,Teaching,2015-11-20,27,198975121302,"645, Bhagat, Patiala-194129",Ballia,Gujarat,642364,+918763917179,https://randomuser.me/api/portraits/women/56.jpg,HOD
T057,Tara Tandon,Female,1987-03-24,04033792671,kiaanswaminathan@wable-sane.biz,M.Ed,Math,Non-Teaching,2023-07-29,16,726175958321,"081, Dube, Indore 386200",Thoothukudi,Madhya Pradesh,470602,+911624583294,https://randomuser.me/api/portraits/women/57.jpg,Transport Manager
T058,Renee Chahal,Male,1991-11-19,+911398856046,psehgal@ben.com,B.Sc,Science,Teaching,2009-09-04,12,914644333615,"H.No. 19, Mallick Path, Madanapalle-841653",Tirupati,Manipur,518648,9333104840,https://randomuser.me/api/portraits/men/58.jpg,Principal
T059,Samaira Das,Male,1964-12-11,+910449305185,andravedika@hotmail.com,B.A,Administration,Teaching,2017-06-20,3,883949817517,"30, Wali Path, Dibrugarh-793472",Junagadh,Bihar,052317,01728525012,https://randomuser.me/api/portraits/men/59.jpg,PGT
T060,Anaya Shan,Male,1976-01-14,09654998004,echeema@gmail.com,M.Sc,Science,Non-Teaching,2005-11-12,33,519553490287,"H.No. 18, Jayaraman Street, Mirzapur 928228",Danapur,Goa,448448,5427936311,https://randomuser.me/api/portraits/men/60.jpg,Fee Clerk
