_id,first_name,last_name,DOB,gender,aadhar_number,email,father_name,mother_name,father_number,mother_number,admission_date,photo_url,is_active,address_permanent,address_correspondence,city,state,zip_code
S020,Hansh,Borde,2016-09-13,Male,903202431058,azad98@gmail.com,Vihaan Sant,Himmat Sharaf,+913240759413,0828221359,2025-05-03,https://randomuser.me/api/portraits/men/20.jpg,True,"12, Rao Path, Tezpur 878360","26, Chad Nagar, Thane 005302",Raiganj,Tripura,128078
S021,Samarth,Borde,2016-01-02,Male,982678431735,joshizain@yahoo.com,Zain Vyas,Dhruv Guha,5211844423,7662850069,2021-10-08,https://randomuser.me/api/portraits/men/21.jpg,True,"H.No. 29, Sinha Street, Junagadh-099119","H.No. 958, Tata Road, Guwahati 738915",Hapur,Gujarat,998654
S022,Eva,Bawa,2013-07-25,Female,322062575899,shanaya14@gmail.com,Gatik Barad,Abram Dalal,+910532191656,+915581073408,2022-05-24,https://randomuser.me/api/portraits/women/22.jpg,True,"97/081, Bhatnagar Marg, Karawal Nagar 180187","079, Kade Circle, Naihati 266935",Maheshtala,Rajasthan,964118
S023,Manjari,Zacharia,2009-12-11,Male,408357670647,akarshkannan@chopra-dara.com,Zoya Grewal,Purab Samra,06329946295,01158042335,2024-04-23,https://randomuser.me/api/portraits/men/23.jpg,True,"425, Deshmukh Path, Sambhal 905945","H.No. 69, Tata, Ahmednagar-498993",Kottayam,Haryana,114619
S024,Siya,Chanda,2007-08-16,Male,629020171702,anyasami@hotmail.com,Shlok Krishna,Yasmin Sura,0342875177,3670780720,2025-03-23,https://randomuser.me/api/portraits/men/24.jpg,True,"78, Gola Road, Gaya 770124","H.No. 790, Sachar Circle, Satara-838648",Proddatur,Maharashtra,722546
S025,Krish,Rao,2013-07-27,Female,480177855608,diyaraj@gmail.com,Ranbir Ben,Seher Aurora,+913458109369,1236562498,2020-10-21,https://randomuser.me/api/portraits/women/25.jpg,True,"H.No. 74, Dora Chowk, Mango-251383","H.No. 27, Bora Road, Silchar-718579",Thanjavur,Kerala,635273
S026,Yuvaan,Manda,2014-10-11,Male,223115264143,bhattisaksham@yahoo.com,Abram Andra,Himmat Chatterjee,04129344758,03094104479,2025-01-13,https://randomuser.me/api/portraits/men/26.jpg,True,"H.No. 710, Batra Marg, Ghaziabad-618599","41/028, Cheema Zila, Ulhasnagar-452039",Guna,Bihar,182688
S027,Eshani,Bath,2016-05-02,Female,680477857783,jayeshthakur@gmail.com,Manjari Raman,Nitya Mani,0685345580,07176196400,2021-03-25,https://randomuser.me/api/portraits/women/27.jpg,True,"H.No. 564, Sant Chowk, Tadepalligudem 008573","H.No. 688, Tara Marg, Raipur-848893",Kochi,Uttar Pradesh,937487
S028,Heer,Srinivasan,2008-12-19,Female,762057371258,ravelbiju@yahoo.com,Anay Das,Hrishita Ramanathan,7137092105,8158208211,2021-01-20,https://randomuser.me/api/portraits/women/28.jpg,True,"H.No. 32, Chanda, Jalandhar-300859","477, Yogi Road, Ambarnath 157549",Ongole,Odisha,336695
S029,Shayak,Yadav,2010-08-02,Male,435540685582,madhavsastry@barad-gala.com,Aniruddh Kapoor,Mehul Batra,0521726919,9425371558,2025-01-14,https://randomuser.me/api/portraits/men/29.jpg,True,"26/080, Dube Zila, Alwar-548781","H.No. 329, Chandran Chowk, Narasaraopet-526765",Rajpur Sonarpur,Telangana,338707
S030,Emir,Konda,2009-10-02,Male,657179226686,navyakorpal@buch.org,Riya Bhavsar,Anika Apte,+916165376208,7225743861,2023-09-17,https://randomuser.me/api/portraits/men/30.jpg,True,"28, Seth Zila, Gudivada-149162","769, Divan Chowk, Rewa 209364",Nanded,Uttarakhand,835781
S031,Ahana ,Varghese,2013-05-14,Female,236665724438,ishita22@hotmail.com,Samarth Agrawal,Ritvik Borah,4697126290,06727023731,2021-09-06,https://randomuser.me/api/portraits/women/31.jpg,True,"99/556, Savant Circle, Thrissur-820258","775, Luthra, Kota 509568",Kishanganj,Maharashtra,017732
S032,Romil,Dewan,2014-04-26,Male,721311004462,ivana78@gara.info,Ryan Shenoy,Arhaan Mallick,4427578146,7403751690,2023-06-10,https://randomuser.me/api/portraits/men/32.jpg,True,"H.No. 01, Gokhale Zila, Suryapet-291894","77/115, Chandran, Nanded-093860",Mango,Uttarakhand,810098
S033,Tara,Thakur,2013-11-01,Male,736022864416,gkarpe@badal.org,Tiya Master,Arhaan Kannan,+911016174882,8415055520,2025-01-08,https://randomuser.me/api/portraits/men/33.jpg,True,"338, Chakrabarti Chowk, Varanasi-653340","90/403, Keer Road, Durg 998169",Karawal Nagar,Maharashtra,479220
S034,Lavanya,Shankar,2017-04-22,Female,204853060376,samashanaya@viswanathan-biswas.net,Onkar Dyal,Shaan Apte,+912102118804,+911822265914,2022-05-28,https://randomuser.me/api/portraits/women/34.jpg,True,"H.No. 359, Halder Path, Nangloi Jat-315282","H.No. 25, Brahmbhatt Marg, Kharagpur 307792",Ulhasnagar,Gujarat,896852
S035,Ojas,Dhingra,2013-10-05,Male,202633468893,madhavgade@kalita-kapadia.com,Adah Bath,Hridaan Kadakia,+918090587886,05435732483,2024-09-02,https://randomuser.me/api/portraits/men/35.jpg,True,"170, Jani Nagar, Durgapur-424149","H.No. 015, Jani Nagar, Hazaribagh-472125",Gaya,Punjab,989050
S036,Eshani,Kurian,2014-10-26,Female,956948079712,wgarg@hotmail.com,Tejas Dugar,Hridaan Behl,4474389128,07192321525,2021-07-06,https://randomuser.me/api/portraits/women/36.jpg,True,"H.No. 61, Chatterjee Nagar, Barasat-754477","160, Sampath Street, Shimoga-578382",Alwar,Maharashtra,649265
S037,Misha,Vasa,2014-09-01,Male,514960898196,tripathivanya@gmail.com,Jhanvi Virk,Nitya Goel,+915539092326,+914277713658,2022-09-05,https://randomuser.me/api/portraits/men/37.jpg,True,"H.No. 46, Contractor, Moradabad-231390","23, Desai Marg, Deoghar-066700",Udaipur,Jharkhand,381286
S038,Zaina,Luthra,2011-07-25,Female,806729489634,kshenoy@grewal.com,Darshit Kunda,Tushar Issac,+911445179866,3043868011,2020-09-02,https://randomuser.me/api/portraits/women/38.jpg,True,"95/548, Gola Marg, Kota 645905","64/969, Joshi Path, Begusarai 447870",Coimbatore,Jharkhand,667858
S039,Vidur,Sachdeva,2010-10-09,Female,916547204594,emirshan@dhillon.info,Tarini Gour,Lakshay Wali,9555964945,+910675694755,2023-10-28,https://randomuser.me/api/portraits/women/39.jpg,True,"H.No. 05, Ratti Chowk, Bikaner 473030","99, Doshi, Jaunpur-416796",Ghaziabad,Tripura,019619
S040,Pranay,Grewal,2007-01-28,Female,204611539037,shayakravel@yahoo.com,Vritika Kuruvilla,Miraan Dara,+915253805735,+914749102994,2021-05-08,https://randomuser.me/api/portraits/women/40.jpg,True,"86/949, Jain Ganj, Chapra-825833","63/516, Krish Chowk, Chandigarh 461633",Gwalior,Himachal Pradesh,871285
S041,Zaina,Chacko,2014-11-24,Male,418435870754,sarkarinaaya@hotmail.com,Samaira Shenoy,Yuvaan Kulkarni,06899612905,07581275869,2025-01-28,https://randomuser.me/api/portraits/men/41.jpg,True,"H.No. 00, Ramachandran, Korba-709468","61/64, Chaudhary Street, Visakhapatnam-549617",Jaipur,Punjab,454310
S042,Riya,Shukla,2007-03-10,Male,836686382317,latwal@mandal.org,Adira Khatri,Lakshit Sunder,08584258525,7099439256,2023-05-20,https://randomuser.me/api/portraits/men/42.jpg,True,"H.No. 581, Zachariah, Vijayanagaram 696574","H.No. 624, Kohli Circle, Rourkela-428935",Hyderabad,Haryana,218492
S043,Ivana,Sidhu,2007-08-10,Female,169819974893,deepivana@lalla.com,Mohanlal Kaul,Vaibhav Dewan,03489288166,7067548131,2021-12-04,https://randomuser.me/api/portraits/women/43.jpg,True,"10/771, Varty, Buxar 276981","H.No. 350, Konda Circle, Ratlam 233454",Sangli-Miraj & Kupwad,Haryana,688899
S044,Piya,Balay,2009-08-30,Male,990269487725,prisha57@talwar-balay.info,Nirvi Krish,Shalv Bhagat,06756455308,03955617831,2024-11-12,https://randomuser.me/api/portraits/men/44.jpg,True,"H.No. 92, Dhingra, Bhusawal-285510","48/14, Sathe, Dhanbad-952352",Uluberia,Punjab,149964
S045,Aradhya,Barman,2012-04-08,Male,129075628088,fkhare@rastogi-ramakrishnan.com,Shray Toor,Mishti Sarna,+915969969524,6739582104,2022-02-16,https://randomuser.me/api/portraits/men/45.jpg,True,"73/14, Kannan Circle, Tirunelveli-945848","810, Deshpande Road, Narasaraopet-656518",Nangloi Jat,Tripura,972063
S046,Saira,Srinivasan,2011-03-17,Female,684192798703,wdani@yahoo.com,Jayesh Bhalla,Aaryahi Sethi,01093456059,+918471325824,2021-05-28,https://randomuser.me/api/portraits/women/46.jpg,True,"43/954, Ben Chowk, Nadiad-114686","02/50, Ramanathan Nagar, Sikar-093087",Bidar,West Bengal,502243
S047,Trisha,Seth,2012-07-22,Male,134561609541,anayawable@hayer.com,Aaryahi Bedi,Jiya Konda,9209084913,09141290952,2025-06-19,https://randomuser.me/api/portraits/men/47.jpg,True,"70, Vasa Ganj, Phusro 261753","74, Varghese Chowk, Rohtak 836224",Kollam,Maharashtra,704337
S048,Tanya,Taneja,2007-03-28,Female,152227268780,lavanya44@kannan.org,Manjari Bakshi,Inaaya  Sahota,8545889404,7429880117,2023-03-10,https://randomuser.me/api/portraits/women/48.jpg,True,"H.No. 59, Kumar Chowk, Kozhikode-312134","10, Andra Road, Rewa-506414",Bareilly,Punjab,138285
S049,Heer,Brar,2015-10-16,Male,486971069378,ychoudhry@shukla.net,Diya Gaba,Nirvaan Chakrabarti,03971884990,00584100197,2021-09-10,https://randomuser.me/api/portraits/men/49.jpg,True,"657, Mani Road, Anantapuram-523988","H.No. 24, Kurian Street, Hubli–Dharwad-486474",Bihar Sharif,Andhra Pradesh,511668
S050,Diya,Desai,2008-07-24,Male,339481930461,evabalakrishnan@hotmail.com,Rania Gour,Zoya Sur,06707540085,03174312726,2024-10-18,https://randomuser.me/api/portraits/men/50.jpg,True,"98, Kaul Nagar, Naihati-663821","797, Dugar, Proddatur-277558",Morbi,Uttarakhand,269042
S051,Zeeshan,Walia,2011-05-29,Male,377909573695,mammentaimur@yahoo.com,Lavanya Dasgupta,Kiara Zachariah,6694390691,3438065944,2023-09-11,https://randomuser.me/api/portraits/men/51.jpg,True,"58, Amble Marg, Raurkela Industrial Township-287812","H.No. 477, Iyengar Street, Shahjahanpur 681229",Bhalswa Jahangir Pur,Madhya Pradesh,500025
S052,Suhana,Seth,2020-05-29,Male,279007483002,arnavbedi@yahoo.com,Lagan Raman,Neysa Walla,01852998008,6691394886,2023-12-12,https://randomuser.me/api/portraits/men/52.jpg,True,"26, Chauhan Chowk, Mira-Bhayandar 832383","590, Dada Path, Machilipatnam 916042",Raipur,Odisha,066704
S053,Myra,Seth,2019-04-09,Female,196842451108,nishithjha@yahoo.com,Ivan Dhaliwal,Raghav Barad,+916347918064,04158488653,2021-05-09,https://randomuser.me/api/portraits/women/53.jpg,True,"480, Chauhan Ganj, Kishanganj-438557","81, Deep Marg, Nangloi Jat-375397",Uluberia,Madhya Pradesh,106309
S054,Nirvi,Balakrishnan,2018-01-28,Female,529353983904,ydayal@buch.com,Mamooty Ramaswamy,Shayak Kurian,8755510807,4674274703,2020-09-07,https://randomuser.me/api/portraits/women/54.jpg,True,"97, Apte Street, Shahjahanpur 721175","07/267, Ravi Marg, Kollam-863086",Chandrapur,West Bengal,411361
S055,Krish,Solanki,2014-09-03,Male,982059713573,mohanlalbava@bava.biz,Tejas Wali,Manjari Chakrabarti,8081277746,03885118544,2022-10-20,https://randomuser.me/api/portraits/men/55.jpg,True,"092, Barad Path, Junagadh 737443","69/051, Rastogi Marg, Medininagar 922031",Bidhannagar,Rajasthan,430485
S056,Rania,Bhalla,2016-03-25,Male,218133571771,uthkarshgulati@gmail.com,Elakshi Gandhi,Gokul Kibe,+915590520289,0991575708,2020-12-25,https://randomuser.me/api/portraits/men/56.jpg,True,"124, Dalal Zila, Anantapur-725964","59/89, Rout Circle, Madhyamgram-030929",Silchar,Maharashtra,466986
S057,Ritvik,Barad,2014-02-09,Female,266069425217,ydeo@hotmail.com,Anya Bhagat,Hridaan Goyal,+918108412728,8397135517,2024-02-09,https://randomuser.me/api/portraits/women/57.jpg,True,"H.No. 373, Shenoy Path, Hosur-764458","H.No. 434, Hora, Mau 457932",Kolhapur,Assam,917113
S058,Seher,Ganesan,2008-12-24,Male,321170889133,jtalwar@bal.net,Sana Bhargava,Mamooty Sandhu,+912097147954,03706452619,2025-02-02,https://randomuser.me/api/portraits/men/58.jpg,True,"H.No. 07, Kashyap Ganj, Bhilai-677597","93/34, Gour Marg, Bhilwara 083593",Dindigul,Jharkhand,731816
S059,Umang,Cheema,2011-01-21,Male,921548079185,aayushseth@gmail.com,Jayant Rout,Myra Chad,+919767130942,+913918410249,2025-05-10,https://randomuser.me/api/portraits/men/59.jpg,True,"41/531, Bhatia Circle, Raichur 094695","89, Datta Road, Berhampur 291119",Madanapalle,Madhya Pradesh,063749
S060,Uthkarsh,Vig,2015-12-22,Female,396937519504,samiharatta@chaudhuri.com,Hansh Char,Anika Tara,+915822063380,+911777799280,2023-11-22,https://randomuser.me/api/portraits/women/60.jpg,True,"029, Ratti Zila, Anantapur-187205","H.No. 987, Khosla Road, Haldia-030184",Raebareli,West Bengal,320164
S061,Kartik,Dayal,2010-02-12,Female,435447833300,ivanwalla@gmail.com,Ivana Kota,Jiya Dugar,+916876344380,+911221317551,2023-06-29,https://randomuser.me/api/portraits/women/61.jpg,True,"76/489, Virk Road, Guwahati 534599","63, Ratta Marg, Danapur 259776",Kolhapur,Manipur,073763
S062,Hrishita,Varghese,2020-04-16,Female,349913113691,navyaranganathan@hotmail.com,Kabir Baral,Myra Subramaniam,+917904513102,3148836019,2023-03-14,https://randomuser.me/api/portraits/women/62.jpg,True,"H.No. 88, Rattan Road, Siwan-546560","56, Shah Marg, Ichalkaranji 728138",Ambattur,Uttar Pradesh,387116
S063,Dishani,Buch,2006-08-20,Female,891968935009,ckrishnan@hotmail.com,Shaan Chand,Shamik Sawhney,06320507317,06304714293,2024-03-07,https://randomuser.me/api/portraits/women/63.jpg,True,"H.No. 512, Bansal Street, Navi Mumbai-581186","61/71, Kale, Barasat-697350",Kumbakonam,Kerala,505734
S064,Aaryahi,Krishnamurthy,2011-11-13,Female,370097868463,bhavinkadakia@hotmail.com,Saanvi Bumb,Kaira Khare,+919219150148,05489972715,2021-11-15,https://randomuser.me/api/portraits/women/64.jpg,True,"511, Ben Road, Dehri-016291","H.No. 25, Bahri Marg, Warangal-597304",Bhilai,Goa,139856
S065,Indrajit,Gokhale,2015-03-02,Female,834411222760,anahikhosla@chhabra.org,Indranil Ben,Rohan Kapoor,2045218623,9779130873,2022-03-12,https://randomuser.me/api/portraits/women/65.jpg,True,"76/565, Dara, Ulhasnagar 387182","47, Rajagopalan Chowk, Jabalpur-861695",Thoothukudi,Tripura,440462
S066,Charvi,Gill,2010-03-10,Male,800697116102,savantpari@dash-tata.net,Amani Sathe,Abram Divan,+915710670713,+910481974578,2023-02-17,https://randomuser.me/api/portraits/men/66.jpg,True,"H.No. 62, Dhar Ganj, Rourkela 222333","04/34, Bhatti Marg, Jorhat 274140",Korba,Jharkhand,932555
S067,Shanaya,Koshy,2009-11-01,Male,300331195774,ggaba@gmail.com,Baiju Bhasin,Dishani Chander,+914364727862,02020705639,2024-05-10,https://randomuser.me/api/portraits/men/67.jpg,True,"19, Barad Ganj, Madurai 354277","H.No. 15, Gupta, Avadi 755928",Aligarh,West Bengal,930520
S068,Nitya,Sama,2013-05-31,Female,675261366644,tarangara@vora.com,Kanav Gera,Prerak Chad,07812838784,4210548292,2022-02-01,https://randomuser.me/api/portraits/women/68.jpg,True,"75/29, Balay Path, Eluru-259659","073, Dixit Road, Uluberia 415870",Saharsa,Kerala,822090
S069,Miraya,Mallick,2015-08-05,Female,568058373030,mannatuppal@saini.com,Yuvaan Gaba,Adah Rama,08566199344,2303206445,2020-08-08,https://randomuser.me/api/portraits/women/69.jpg,True,"52/33, Deshpande Road, Udaipur 107523","42/785, Srinivasan Zila, Bahraich 177608",Alwar,Maharashtra,644607
S070,Faiyaz,Chaudhuri,2006-09-10,Female,109604403580,zchawla@hotmail.com,Rasha Sundaram,Neysa Bir,+913343573794,+919198038624,2021-01-04,https://randomuser.me/api/portraits/women/70.jpg,True,"H.No. 60, Kala, Rewa 728307","H.No. 20, Gara Chowk, Tirunelveli 116333",Shimoga,Himachal Pradesh,837910
S071,Darshit,Dasgupta,2011-05-05,Female,284869098771,zachariariya@gala-char.com,Akarsh Buch,Drishya Gera,+915161191387,3985408581,2021-06-18,https://randomuser.me/api/portraits/women/71.jpg,True,"73/54, Thakkar Zila, Nellore 044769","H.No. 997, Barman Ganj, Hapur-237614",Etawah,Nagaland,154150
S072,Ayesha,Lad,2009-04-03,Female,806238184837,hsandal@yahoo.com,Kaira Mannan,Anvi Bassi,4169127437,03899182040,2021-05-10,https://randomuser.me/api/portraits/women/72.jpg,True,"57/398, Varma Nagar, Bally-646457","978, Biswas Marg, Sri Ganganagar-689470",Orai,Kerala,098446
S073,Zara,Rau,2016-08-15,Female,818460189083,yuvaankannan@gmail.com,Raunak Taneja,Devansh Chakrabarti,5451098003,+916348776578,2025-07-15,https://randomuser.me/api/portraits/women/73.jpg,True,"82/19, Dugal Road, Mangalore-426720","H.No. 69, Vohra Street, Ambarnath-796136",Jaipur,Bihar,394974
S074,Raunak,Gour,2008-07-04,Male,560714219131,ubrar@goyal-bobal.com,Stuvan Dhar,Divit Raju,+911921802788,+919980302337,2020-10-06,https://randomuser.me/api/portraits/men/74.jpg,True,"865, Ghosh Road, Narasaraopet-560255","H.No. 08, Jayaraman Street, North Dumdum-309739",Bongaigaon,Telangana,796431
S075,Biju,Sood,2014-10-21,Male,356885808367,basualisha@upadhyay.info,Anvi Halder,Himmat Kalita,0308354778,00798887613,2024-08-26,https://randomuser.me/api/portraits/men/75.jpg,True,"H.No. 76, Bhardwaj Marg, Ongole-368468","74/422, Rau Road, Hajipur-109813",Shivpuri,Tamil Nadu,479745
S076,Hansh,Rastogi,2017-09-08,Female,801408219645,indranschana@hotmail.com,Yuvraj  Ahluwalia,Prisha Reddy,+918130709703,05970149342,2025-05-08,https://randomuser.me/api/portraits/women/76.jpg,True,"156, Lall Circle, Aurangabad-658144","01/432, Anand Chowk, Gurgaon-815117",Sagar,Punjab,328160
S077,Gokul,Bir,2011-05-21,Male,136476723538,zachariaishaan@saran.com,Indranil Ramanathan,Vanya Malhotra,+914873761001,+913572368771,2023-05-22,https://randomuser.me/api/portraits/men/77.jpg,True,"84, Iyengar Circle, Bidhannagar-458080","05/34, Tata Circle, Gangtok-387538",Ichalkaranji,West Bengal,977910
S078,Rania,Agarwal,2009-10-10,Female,119207781087,purab45@gmail.com,Myra Deshmukh,Advik Issac,+916606248028,06892349223,2025-06-10,https://randomuser.me/api/portraits/women/78.jpg,True,"53/719, Khanna Path, Ratlam-392470","143, Sanghvi Zila, Naihati-240345",Tadipatri,Assam,516623
S079,Anahita,Chauhan,2012-09-10,Male,560140114197,suhanahans@dhar-gopal.com,Navya Doctor,Adira Sule,00288358190,05040442904,2025-05-26,https://randomuser.me/api/portraits/men/79.jpg,True,"H.No. 946, Swamy Road, Jorhat 852413","45, Bail, Akola-818015",Raiganj,Odisha,463809
S080,Veer,Batta,2019-02-07,Female,963675367698,shanayajha@yahoo.com,Jayan Gaba,Reyansh Manda,9136874714,3140584650,2024-12-27,https://randomuser.me/api/portraits/women/80.jpg,True,"H.No. 42, Bose Chowk, Dharmavaram-609339","680, Rajagopal Road, Surat-412121",Ichalkaranji,Himachal Pradesh,437951
S081,Rati,Seshadri,2008-10-11,Female,223892952376,yasmin70@borra.com,Indrans Dayal,Elakshi Saha,05686538072,+914165193560,2021-09-21,https://randomuser.me/api/portraits/women/81.jpg,True,"64/444, Gupta Street, Noida-074663","87/785, Walla, Gurgaon-108732",Ramagundam,Bihar,211057
S082,Oorja,Barman,2015-04-07,Female,654229151148,mannatdalal@hotmail.com,Tushar Goda,Advik Varughese,0669319684,+919651043507,2023-06-19,https://randomuser.me/api/portraits/women/82.jpg,True,"77/93, Sawhney Chowk, Guntakal-861180","26/812, Barad Zila, Unnao 244193",Mathura,Sikkim,526399
S083,Hunar,Ahluwalia,2007-01-17,Male,411237800680,xkrishna@chahal.com,Nitya Buch,Arnav Sarma,6705178162,9662494604,2025-01-26,https://randomuser.me/api/portraits/men/83.jpg,True,"00/691, Gokhale Circle, Hospet 846792","44, Babu Road, Jalna 323074",Visakhapatnam,Meghalaya,501774
S084,Nakul,Wali,2020-02-05,Female,832930279035,vartyhansh@ben.com,Parinaaz Saraf,Krish Khare,4135420355,8852907497,2024-01-25,https://randomuser.me/api/portraits/women/84.jpg,True,"H.No. 617, Rau Ganj, Vellore-970326","47/80, Yogi Marg, Kottayam-886824",Mysore,Andhra Pradesh,925165
S085,Alisha,Khalsa,2019-10-10,Female,380509090597,divijsalvi@kulkarni-rau.org,Gokul Edwin,Sahil Bava,5959601348,05963329800,2020-12-01,https://randomuser.me/api/portraits/women/85.jpg,True,"45/465, Tank Road, Munger-492988","788, Konda Path, Sangli-Miraj & Kupwad-924864",Bhavnagar,Meghalaya,625018
